k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.11;151.94;100.86;104.24;4.11;183.23;4.04;420.69;19.66;3.99;20.33;200.57;387.39;278.41
4.12;151.69;100.62;104.09;4.11;183.59;4.04;420.6;19.68;4;20.35;200.26;386.95;278.27
4.13;151.81;100.89;104.42;4.12;182.74;4.05;421.16;19.75;4.01;20.44;200.57;387.26;278.74
4.13;151.67;100.99;104.38;4.12;183.9;4.05;420.74;19.73;4.01;20.43;199.97;386.85;278.52
4.13;152.04;101.13;104.61;4.12;183.97;4.05;419.99;19.72;4.01;20.44;199.81;385.94;278.3
4.14;152.54;101.53;105.07;4.13;183.04;4.06;418.34;19.71;4.02;20.47;199.61;384.07;277.42
4.13;151.88;101.11;104.67;4.13;184.61;4.06;418.48;19.69;4.01;20.43;199.1;383.92;277.37
4.13;152.26;101.51;104.87;4.13;183.59;4.06;418.58;19.8;4.01;20.55;199.31;383.44;277.41
4.12;152.72;101.65;105.24;4.11;182.86;4.04;418.05;19.73;4;20.45;199.46;383.87;277.24
4.12;152.46;101.92;105.12;4.11;183.41;4.04;418.31;19.72;4.01;20.44;199.46;383.92;277.37
4.12;152.8;102.21;105.62;4.11;182.58;4.04;418.08;19.75;4;20.47;199.81;384;277.39
4.13;152.82;102.33;105.82;4.12;182.74;4.05;417.78;19.69;4.01;20.43;199.59;383.39;277.26
4.13;151.46;101.1;104.08;4.12;184.05;4.05;417.83;19.57;4.01;20.31;198.74;384.43;277.36
4.12;151.32;100.67;103.79;4.11;183.45;4.04;416.6;19.54;4.01;20.27;198.25;383.1;276.64
4.12;152.34;101.26;104.68;4.11;182.72;4.04;416.12;19.56;4.01;20.3;199.13;382.48;276.44
4.11;152.12;101.42;104.91;4.11;183.15;4.04;416.28;19.47;4;20.19;199.03;383.07;276.49
4.12;151.79;100.52;104.04;4.11;183.34;4.04;416.41;19.41;4.01;20.15;198.79;383.49;276.57
4.12;152.11;100.73;104.52;4.11;184.74;4.04;416.22;19.32;4.01;20.04;199.43;383.47;276.6
4.11;152.41;101;104.94;4.11;183.07;4.04;415.99;19.45;4;20.18;199.26;383.1;276.42
4.1;151.81;100.3;104.29;4.1;183.61;4.03;416.49;19.46;3.99;20.15;198.83;383.59;276.43
4.11;151.9;100.37;104.27;4.1;183.97;4.03;416.79;19.55;3.99;20.25;199.31;383.43;276.53
4.1;151.72;99.89;104.07;4.09;183.29;4.02;417.27;19.6;3.98;20.28;198.9;383.88;276.47
4.1;151.21;99.72;103.88;4.09;184.51;4.03;418.08;19.66;3.98;20.33;199.04;384.64;276.83
4.1;151.3;99.5;103.69;4.1;184.28;4.03;419.46;19.74;3.98;20.41;199.44;385.84;277.49
4.12;152.63;100.8;105.3;4.11;183.93;4.04;420.07;19.8;3.99;20.49;200.7;386.11;278.05
4.11;152.08;99.97;104.67;4.11;183.49;4.04;421.16;19.96;3.99;20.64;200.12;386.74;278.33
4.14;151.46;99.41;104.03;4.13;183.84;4.06;420.92;20.01;4.01;20.74;199.48;385.96;278.33
4.14;151.95;99.72;104.42;4.13;184.24;4.06;421.75;19.97;4.01;20.69;200.41;387.21;278.86
4.13;151.8;100.02;104.52;4.13;183.39;4.06;420.93;19.96;4.01;20.67;200.05;386.25;278.44
4.13;152.02;100.5;104.87;4.13;183.62;4.06;421.07;19.92;4.01;20.64;200.35;386.49;278.61
4.13;152.77;100.72;105.28;4.12;183.01;4.05;420.98;20;4;20.71;200.64;386.35;278.55
4.14;152.3;100.44;104.88;4.13;183.21;4.06;421.07;19.95;4.01;20.68;200.44;386.43;278.61
4.13;152.04;100.4;104.62;4.13;182.82;4.06;420.61;19.92;4.01;20.65;200.28;386.14;278.43
4.13;152.67;100.99;105.4;4.13;183.46;4.06;421.06;19.9;4.01;20.61;201.16;386.43;278.79
4.13;152.61;101.17;105.5;4.12;183.44;4.05;421.02;19.93;4;20.63;200.33;386.39;278.76
4.12;152.34;101.1;105.31;4.12;183.07;4.05;418.27;19.86;4;20.58;199.3;383.44;277.25
4.14;152.47;100.85;105.18;4.13;183.96;4.06;417.15;19.74;4.02;20.53;198.7;382.29;276.72
4.13;151.97;100.32;104.66;4.13;182.75;4.06;417.45;19.82;4.01;20.59;198.66;383.01;276.76
4.13;152.34;100.74;104.88;4.12;183.52;4.05;416.62;19.79;4;20.55;199.14;382.37;276.48
4.12;152.15;100.5;105.05;4.12;183.13;4.05;416.03;19.73;3.99;20.5;198.45;381.29;275.86
4.13;152.27;99.46;104.97;4.12;181.4;4.05;415.49;19.63;4;20.41;198.42;381.01;275.49
4.12;151.91;98.84;104.57;4.11;182.94;4.05;417.19;19.63;3.99;20.37;198.71;383.13;276.34
4.12;152.49;99.68;104.9;4.11;182.91;4.04;417.72;19.71;3.99;20.44;199.69;383.57;276.66
4.13;152.41;99.09;105.05;4.12;182.46;4.05;419.14;19.59;4;20.32;200.14;385.37;277.47
4.12;151.89;99.27;104.52;4.11;182.42;4.04;419.29;19.7;3.99;20.4;199.92;385.59;277.39
4.12;151.22;98.72;103.76;4.11;184.46;4.04;419.22;19.69;3.98;20.38;199.39;385.46;277.24
4.1;152;99.8;104.65;4.1;183.56;4.03;419.5;19.86;3.97;20.53;199.43;385.23;277.25
4.11;151.22;98.93;103.52;4.11;183.16;4.04;419.81;19.96;3.98;20.65;199.06;385.61;277.46
4.13;150.7;98.78;103.36;4.12;184.97;4.05;420.48;19.93;3.99;20.64;198.99;385.89;277.8
4.13;151.03;98.97;103.89;4.12;183.45;4.05;420.01;20.05;3.99;20.77;198.67;384.7;277.44
4.12;150.79;98.74;103.61;4.11;183.49;4.04;420.83;20.14;3.98;20.84;198.5;385.49;277.74
4.14;151.06;98.69;103.65;4.13;185.5;4.06;420.98;20.2;4;20.93;198.54;385.15;278
4.15;151.08;98.78;103.96;4.14;183.85;4.07;421.33;20.18;4.01;20.93;198.8;385.18;278.19
4.14;150.8;98.95;103.92;4.13;184.9;4.06;420.9;20.12;4;20.86;198.66;385.16;278.03
4.13;151.42;99.11;104.25;4.12;184.06;4.05;420.44;20.14;4;20.86;198.8;384.68;277.85
4.14;151.91;99.37;104.86;4.13;184.32;4.06;420.62;20.17;4.01;20.92;199.19;384.91;278.08
4.13;151.86;99.41;104.69;4.12;183.01;4.05;420.38;20.16;4;20.89;199.18;384.75;277.9
4.13;151.78;99.44;104.71;4.12;184.32;4.05;419.94;20.06;4;20.79;199.32;384.71;277.73
4.13;151.59;99.69;104.33;4.12;185.14;4.05;420.58;20.08;4;20.81;199.13;385.24;278.04
4.13;151.37;99.88;104.17;4.13;184.1;4.06;419.82;20.05;4.01;20.78;198.83;384.67;277.73
4.14;151.92;100.06;104.57;4.13;183.7;4.06;420.29;20.03;4.01;20.77;199.55;385.04;278.04
4.13;152.92;100.8;105.74;4.12;183.07;4.05;420.12;20.04;3.99;20.75;200.3;384.59;277.86
4.13;152.21;99.3;104.84;4.12;183.07;4.05;419.89;19.98;3.99;20.69;199.83;385.03;277.73
4.11;151.83;98.72;104.19;4.11;181.4;4.04;418.91;19.86;3.98;20.56;199.26;384.61;277.21
4.11;151.66;99.72;104.08;4.11;183.81;4.04;419.34;19.79;3.98;20.48;199.65;385.6;277.53
4.11;152.52;100.39;104.95;4.1;183.59;4.03;418.75;19.82;3.98;20.51;200.12;384.74;277.26
4.12;152.59;100.57;105.28;4.11;183.05;4.04;418.94;19.85;3.99;20.56;200.29;384.74;277.36
4.11;152.3;100.26;104.71;4.1;183.53;4.04;419.91;19.74;3.99;20.42;200.57;386.19;277.87
4.11;151.92;99.9;104.12;4.1;183.77;4.03;421.36;19.88;3.98;20.52;200.45;387.24;278.3
4.09;151.25;99.53;104;4.09;183.61;4.02;421.47;19.73;3.97;20.35;200.18;387.7;278.17
4.1;149.58;98.66;104.41;4.09;185.46;4.02;427.28;19.97;3.97;20.5;198.95;388.22;282.24
4.11;147.95;97.84;104.32;4.1;187.47;4.03;430.05;19.99;3.98;20.52;197.93;388.3;284.75
4.12;148.07;97.78;104.52;4.12;187.18;4.05;430.27;20.05;3.99;20.61;197.97;388.42;284.93
4.13;147.88;97.78;104.55;4.12;188.56;4.05;430.16;20.15;3.99;20.72;197.52;387.92;284.77
4.13;147.81;97.21;104.22;4.13;188.27;4.05;430.05;20.18;4;20.77;197.5;387.57;284.68
4.13;148.69;97.95;104.45;4.12;187.53;4.05;427.77;20.1;4;20.71;198.54;387.16;283.52
4.14;151.78;99.09;104.46;4.13;184.59;4.06;421.35;20.08;4;20.81;200.16;386.34;278.47
4.13;151.18;98.92;103.69;4.13;184.79;4.05;421.8;20.11;4;20.82;199.59;386.83;278.52
4.13;152.44;99.61;104.74;4.12;183.81;4.05;421.04;20.07;4;20.78;200.58;386.44;278.49
4.13;151.49;99.52;103.93;4.12;184.07;4.05;421.16;19.96;4;20.67;200.11;386.91;278.45
4.13;151.85;99.69;104.38;4.12;183.26;4.05;420.45;20.05;4;20.77;199.99;385.54;278.09
4.13;151.91;99.76;104.59;4.12;184.16;4.05;421.15;20.05;4;20.75;200.28;386.49;278.48
4.13;151.83;99.76;104.35;4.12;183.48;4.05;420.97;19.96;4;20.66;200.05;386.7;278.3
4.13;151.82;99.72;104.2;4.12;184.18;4.05;421.14;19.98;4;20.69;200.13;386.55;278.42
4.13;152.02;100.03;104.56;4.13;182.9;4.06;421.19;19.94;4.01;20.66;200.33;386.7;278.52
4.13;151.77;99.96;104.08;4.13;183.84;4.06;421.77;19.91;4;20.61;200.35;387.52;278.79
4.12;151.49;99.34;103.77;4.11;183.39;4.04;421.15;19.83;3.99;20.51;200.16;387.19;278.36
4.13;151.81;99.74;103.89;4.12;182.99;4.05;420.68;19.89;4;20.59;200.33;386.79;278.4
4.13;151.51;99.74;103.82;4.13;184.52;4.06;420.45;19.78;4.01;20.49;200.18;386.44;278.34
